Rk,Year,Player,Pos,Age,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted (tm/rnd/yr)
1,2019,Trayveon Williams,RB,21,0,Texas A&M,College Stats,8-May,206,4.51,33,19,121,7.44,4.44,Cincinnati Bengals / 6th / 182nd pick / 2019
2,2019,Dexter Williams,RB,22,0,Notre Dame,College Stats,11-May,212,4.57,36,17,130,7,4.16,Green Bay Packers / 6th / 194th pick / 2019
3,2019,Devin Singletary,RB,21,6,Florida Atlantic,College Stats,7-May,203,4.66,35,15,117,7.32,4.4,Buffalo Bills / 3rd / 74th pick / 2019
4,2019,Jordan Scarlett,RB,23,0,Florida,College Stats,11-May,208,4.47,30,21,116,7.37,4.63,Carolina Panthers / 5th / 154th pick / 2019
5,2019,Miles Sanders,RB,21,9,Penn State,College Stats,11-May,211,4.49,36,20,124,6.89,4.19,Philadelphia Eagles / 2nd / 53rd pick / 2019
6,2019,Tony Pollard,RB,21,4,Memphis,College Stats,Jun-00,210,4.52,35,13,121,,,Dallas Cowboys / 4th / 128th pick / 2019
7,2019,Qadree Ollison,RB,22,0,Pittsburgh,College Stats,1-Jun,228,4.58,29.5,19,114,7.53,4.31,Atlanta Falcons / 5th / 152nd pick / 2019
8,2019,David Montgomery,RB,21,5,Iowa State,College Stats,10-May,222,4.63,28.5,15,121,,,Chicago Bears / 3rd / 73rd pick / 2019
9,2019,Alexander Mattison,RB,20,4,Boise State,College Stats,11-May,221,4.67,35,22,127,7.13,4.29,Minnesota Vikings / 3rd / 102nd pick / 2019
10,2019,Josh Jacobs,RB,21,8,Alabama,College Stats,10-May,220,,,,,,,Oakland Raiders / 1st / 24th pick / 2019
11,2019,Travis Homer,RB,20,1,Miami (FL),College Stats,10-May,201,4.48,39.5,17,130,7.07,4.31,Seattle Seahawks / 6th / 204th pick / 2019
12,2019,Justice Hill,RB,21,3,Oklahoma State,College Stats,10-May,198,4.4,40,21,130,,,Baltimore Ravens / 4th / 113th pick / 2019
13,2019,Darrell Henderson,RB,21,1,Memphis,College Stats,8-May,208,4.49,33.5,22,121,,,Los Angeles Rams / 3rd / 70th pick / 2019
14,2019,Damien Harris,RB,22,0,Alabama,College Stats,10-May,216,4.57,37,16,121,,,New England Patriots / 3rd / 87th pick / 2019
15,2019,Myles Gaskin,RB,22,1,Washington,College Stats,9-May,205,4.58,35.5,24,118,7.19,4.27,Miami Dolphins / 7th / 234th pick / 2019
16,2019,Ryquell Armstead,RB,22,2,Temple,College Stats,11-May,220,4.45,30,22,114,7.02,4.29,Jacksonville Jaguars / 5th / 140th pick / 2019
17,2018,Darrel Williams,RB,22,4,LSU,College Stats,Jun-00,225,4.72,32,22,109,,4.21,
18,2018,Jordan Wilkins,RB,23,5,Mississippi,College Stats,1-Jun,216,,36,16,117,,4.27,Indianapolis Colts / 5th / 169th pick / 2018
19,2018,Mark Walton,RB,20,3,Miami (FL),College Stats,10-May,202,4.6,31.5,18,118,,,Cincinnati Bengals / 4th / 112th pick / 2018
20,2018,Bo Scarbrough,RB,21,2,Alabama,College Stats,1-Jun,228,4.52,40,14,129,,4.34,Dallas Cowboys / 7th / 236th pick / 2018
21,2018,Rashaad Penny,RB,22,7,San Diego State,College Stats,11-May,220,4.46,32.5,13,120,,,Seattle Seahawks / 1st / 27th pick / 2018
22,2018,Sony Michel,RB,23,12,Georgia,College Stats,11-May,214,4.54,,22,,,4.21,New England Patriots / 1st / 31st pick / 2018
23,2018,John Kelly,RB,21,1,Tennessee,College Stats,10-May,216,,35,15,120,7.13,4.51,Los Angeles Rams / 6th / 176th pick / 2018
24,2018,Kerryon Johnson,RB,20,8,Auburn,College Stats,11-May,213,,40,11,126,7.07,4.29,Detroit Lions / 2nd / 43rd pick / 2018
25,2018,Justin Jackson,RB,22,4,Northwestern,College Stats,Jun-00,199,4.52,38.5,13,122,6.81,4.07,Los Angeles Chargers / 7th / 251st pick / 2018
26,2018,Nyheim Hines,RB,21,12,North Carolina State,College Stats,8-May,198,4.38,35.5,,119,7.18,4.35,Indianapolis Colts / 4th / 104th pick / 2018
27,2018,Derrius Guice,RB,20,2,LSU,College Stats,10-May,224,4.49,31.5,15,,,,Washington Redskins / 2nd / 59th pick / 2018
28,2018,Royce Freeman,RB,22,8,Oregon,College Stats,11-May,229,4.54,34,17,118,6.9,4.16,Denver Broncos / 3rd / 71st pick / 2018
29,2018,Chase Edmonds,RB,21,5,Fordham,,9-May,205,4.55,34,19,122,6.79,4.07,Arizona Cardinals / 4th / 134th pick / 2018
30,2018,Nick Chubb,RB,22,18,Georgia,College Stats,11-May,227,4.52,38.5,29,128,7.09,4.25,Cleveland Browns / 2nd / 35th pick / 2018
31,2018,Saquon Barkley,RB,21,23,Penn State,College Stats,Jun-00,233,4.4,41,29,,,4.24,New York Giants / 1st / 2nd pick / 2018
32,2018,Kalen Ballage,RB,22,3,Arizona State,College Stats,1-Jun,228,4.46,33.5,15,122,6.91,4.35,Miami Dolphins / 4th / 131st pick / 2018
33,2018,Josh Adams,RB,21,3,Notre Dame,College Stats,2-Jun,213,,,18,,,,
34,2017,Jamaal Williams,RB,21,16,BYU,College Stats,Jun-00,212,4.59,30,,123,7.25,4.53,Green Bay Packers / 4th / 134th pick / 2017
35,2017,De'Veon Smith,RB,22,0,Michigan,College Stats,11-May,223,,29,22,108,7.3,4.56,
36,2017,Samaje Perine,RB,21,5,Oklahoma,College Stats,11-May,233,4.65,33,30,116,7.26,4.37,Washington Redskins / 4th / 114th pick / 2017
37,2017,Dare Ogunbowale,RB,22,2,Wisconsin,College Stats,11-May,213,4.65,35,14,120,6.99,4.34,
38,2017,Jeremy McNichols,RB,21,0,Boise State,College Stats,9-May,214,4.49,35.5,,121,6.93,4.28,Tampa Bay Buccaneers / 5th / 162nd pick / 2017
39,2017,Elijah McGuire,RB,22,6,Louisiana,College Stats,10-May,214,4.53,36,15,120,7.26,4.56,New York Jets / 6th / 188th pick / 2017
40,2017,Christian McCaffrey,RB,20,40,Stanford,College Stats,11-May,202,4.48,37.5,10,121,6.57,4.22,Carolina Panthers / 1st / 8th pick / 2017
41,2017,Marlon Mack,RB,20,19,South Florida,College Stats,11-May,213,4.5,35.5,15,125,,,Indianapolis Colts / 4th / 143rd pick / 2017
42,2017,T.J. Logan,RB,22,0,North Carolina,College Stats,9-May,196,4.37,33.5,17,121,,,Arizona Cardinals / 5th / 179th pick / 2017
43,2017,Alvin Kamara,RB,21,43,Tennessee,College Stats,10-May,214,4.56,39.5,15,131,,,New Orleans Saints / 3rd / 67th pick / 2017
44,2017,Aaron Jones,RB,22,21,Texas-El Paso,College Stats,9-May,208,4.56,37.5,16,127,6.82,4.2,Green Bay Packers / 5th / 182nd pick / 2017
45,2017,Kareem Hunt,RB,21,29,Toledo,College Stats,10-May,216,4.62,36.5,18,119,,,Kansas City Chiefs / 3rd / 86th pick / 2017
46,2017,Elijah Hood,RB,20,0,North Carolina,College Stats,Jun-00,232,,,18,,,,Oakland Raiders / 7th / 242nd pick / 2017
47,2017,Brian Hill,RB,21,5,Wyoming,College Stats,1-Jun,219,4.54,34,15,125,7.03,4.32,Atlanta Falcons / 5th / 156th pick / 2017
48,2017,Wayne Gallman,RB,22,7,Clemson,College Stats,Jun-00,215,4.6,29.5,21,120,7.17,4.28,New York Giants / 4th / 140th pick / 2017
49,2017,Leonard Fournette,RB,22,21,LSU,College Stats,Jun-00,240,4.51,28.5,,,,,Jacksonville Jaguars / 1st / 4th pick / 2017
50,2017,D'Onta Foreman,RB,20,3,Texas,College Stats,Jun-00,233,,,18,,,,Houston Texans / 3rd / 89th pick / 2017
51,2017,Matthew Dayes,RB,22,0,North Carolina State,College Stats,9-May,205,4.47,28,18,109,,,Cleveland Browns / 7th / 252nd pick / 2017
52,2017,Justin Davis,RB,21,0,USC,College Stats,1-Jun,208,,,21,,,,
53,2017,Dalvin Cook,RB,21,24,Florida State,College Stats,10-May,210,4.49,30.5,22,116,7.27,4.53,Minnesota Vikings / 2nd / 41st pick / 2017
54,2017,James Conner,RB,21,16,Pittsburgh,College Stats,1-Jun,233,4.65,29,20,113,,,Pittsburgh Steelers / 3rd / 105th pick / 2017
55,2017,Tarik Cohen,RB,21,21,North Carolina A&T,,6-May,179,4.42,31.5,11,118,,,Chicago Bears / 4th / 119th pick / 2017
56,2017,Corey Clement,RB,22,6,Wisconsin,College Stats,10-May,220,4.68,28.5,19,115,,,
57,2017,Chris Carson,RB,22,22,Oklahoma State,College Stats,Jun-00,218,4.58,37,23,130,,,Seattle Seahawks / 7th / 249th pick / 2017
58,2016,Jonathan Williams,RB,22,3,Arkansas,College Stats,11-May,220,4.56,,16,,,,Buffalo Bills / 5th / 156th pick / 2016
59,2016,Brandon Wilds,RB,22,0,South Carolina,College Stats,1-Jun,220,4.54,36.5,21,118,7.08,4.33,
60,2016,Deandre Washington,RB,23,12,Texas Tech,College Stats,8-May,204,4.49,34.5,24,116,7.03,4.2,Oakland Raiders / 5th / 143rd pick / 2016
61,2016,Wendell Smallwood,RB,22,10,West Virginia,College Stats,10-May,208,4.47,33.5,14,120,6.83,4.28,Philadelphia Eagles / 5th / 153rd pick / 2016
62,2016,C.J. Prosise,RB,21,5,Notre Dame,College Stats,Jun-00,220,4.48,35.5,,121,,,Seattle Seahawks / 3rd / 90th pick / 2016
63,2016,Paul Perkins,RB,21,5,UCLA,College Stats,10-May,208,4.54,32,19,124,,,New York Giants / 5th / 149th pick / 2016
64,2016,Tre Madden,RB,22,1,USC,College Stats,Jun-00,223,4.53,,24,,,,
65,2016,Daniel Lasco,RB,23,0,California,College Stats,Jun-00,209,4.46,41.5,23,135,7.22,4.26,New Orleans Saints / 7th / 237th pick / 2016
66,2016,Jordan Howard,RB,21,26,Indiana,College Stats,Jun-00,230,4.57,34,16,122,,,Chicago Bears / 5th / 150th pick / 2016
67,2016,Derrick Henry,RB,22,29,Alabama,College Stats,3-Jun,247,4.54,37,22,130,7.2,4.38,Tennessee Titans / 2nd / 45th pick / 2016
68,2016,Josh Ferguson,RB,22,1,Illinois,College Stats,9-May,198,4.48,34.5,21,120,,,
69,2016,Tyler Ervin,RB,22,0,San Jose State,College Stats,10-May,192,4.41,39,17,130,,,Houston Texans / 4th / 119th pick / 2016
70,2016,Ezekiel Elliott,RB,20,52,Ohio State,College Stats,Jun-00,225,4.47,32.5,,118,,,Dallas Cowboys / 1st / 4th pick / 2016
71,2016,Kenyan Drake,RB,22,23,Alabama,College Stats,1-Jun,210,4.45,34.5,10,123,7.04,4.21,Miami Dolphins / 3rd / 73rd pick / 2016
72,2016,Kenneth Dixon,RB,22,5,Louisiana Tech,College Stats,10-May,215,4.56,37.5,18,121,6.97,4.28,Baltimore Ravens / 4th / 134th pick / 2016
73,2016,Alex Collins,RB,21,14,Arkansas,College Stats,10-May,217,4.59,28.5,18,113,,,Seattle Seahawks / 5th / 171st pick / 2016
74,2016,Tra Carson,RB,23,0,Texas A&M,College Stats,11-May,227,4.63,,19,,,,
75,2016,Devontae Booker,RB,23,12,Utah,College Stats,11-May,219,4.56,,22,,,,Denver Broncos / 4th / 136th pick / 2016
76,2016,Peyton Barber,RB,22,13,Auburn,College Stats,10-May,228,4.64,32.5,20,111,7,4.21,
77,2015,T.J. Yeldon,RB,21,21,Alabama,College Stats,1-Jun,226,4.61,36,22,117,7.19,4.22,Jacksonville Jaguars / 2nd / 36th pick / 2015
78,2015,Trey Williams,RB,22,0,Texas A&M,College Stats,7-May,195,4.49,33.5,18,119,6.84,4.12,
79,2015,Karlos Williams,RB,21,4,Florida State,College Stats,1-Jun,230,4.48,33.5,16,117,7.16,4.46,Buffalo Bills / 5th / 155th pick / 2015
80,2015,Josh Robinson,RB,22,0,Mississippi State,College Stats,8-May,217,4.7,32,21,113,,,Indianapolis Colts / 6th / 205th pick / 2015
81,2015,Thomas Rawls,RB,21,12,Central Michigan,College Stats,9-May,215,4.65,35.5,15,116,,,
82,2015,Marcus Murphy,RB,23,2,Missouri,College Stats,9-May,198,4.61,29,11,109,,4.4,New Orleans Saints / 7th / 230th pick / 2015
83,2015,Terrence Magee,RB,21,0,LSU,College Stats,8-May,213,4.62,37,22,115,7.52,4.37,
84,2015,Jeremy Langford,RB,23,8,Michigan State,College Stats,Jun-00,208,4.42,34.5,,118,7.22,4.32,Chicago Bears / 4th / 106th pick / 2015
85,2015,Matt Jones,RB,21,10,Florida,College Stats,2-Jun,231,4.61,31.5,20,112,,4.2,Washington Redskins / 3rd / 95th pick / 2015
86,2015,Duke Johnson,RB,21,27,Miami (FL),College Stats,9-May,207,4.54,33.5,,121,,,Cleveland Browns / 3rd / 77th pick / 2015
87,2015,David Johnson,RB,23,36,New Mexico,,1-Jun,224,4.5,41.5,25,127,6.82,4.27,Arizona Cardinals / 3rd / 86th pick / 2015
88,2015,Todd Gurley,RB,20,53,Georgia,College Stats,1-Jun,222,4.52,,17,,,,St. Louis Rams / 1st / 10th pick / 2015
89,2015,Melvin Gordon,RB,21,42,Wisconsin,College Stats,1-Jun,215,4.52,35,19,126,7.04,4.07,San Diego Chargers / 1st / 15th pick / 2015
90,2015,Mike Davis,RB,22,10,South Carolina,College Stats,9-May,217,4.61,34,17,116,7,4.18,San Francisco 49ers / 4th / 126th pick / 2015
91,2015,John Crockett,RB,23,0,North Dakota State,,Jun-00,217,4.62,40,15,125,7.15,4.25,
92,2015,Tevin Coleman,RB,21,33,Indiana,College Stats,11-May,206,4.4,,22,,,,Atlanta Falcons / 3rd / 73rd pick / 2015
93,2015,David Cobb,RB,21,1,Minnesota,College Stats,11-May,229,4.81,38.5,17,121,,,Tennessee Titans / 5th / 138th pick / 2015
94,2015,Cameron Artis-Payne,RB,24,5,Auburn,College Stats,10-May,212,4.53,36.5,,118,7.13,,Carolina Panthers / 5th / 174th pick / 2015
95,2015,Javorius Allen,RB,23,14,USC,College Stats,Jun-00,221,4.53,35.5,11,121,6.96,4.28,Baltimore Ravens / 4th / 125th pick / 2015
96,2015,Jay Ajayi,RB,21,20,Boise State,College Stats,Jun-00,221,4.57,39,19,121,7.1,4.1,Miami Dolphins / 5th / 149th pick / 2015
97,2015,Ameer Abdullah,RB,21,13,Nebraska,College Stats,9-May,205,4.6,42.5,24,130,6.79,3.95,Detroit Lions / 2nd / 54th pick / 2015