Player,Pos,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle
Charlie Woerner,TE,Georgia,College Stats,5-Jun,244,4.78,34.5,21,120,7.18,4.46
Mitchell Wilcox,TE,South Florida,College Stats,3-Jun,247,4.88,31,,112,7.37,4.43
Cody White,WR,Michigan State,College Stats,3-Jun,217,4.66,35.5,,120,7.19,4.52
Ke'Shawn Vaughn,RB,Vanderbilt,College Stats,10-May,214,4.51,32,,117,,
Jeff Thomas,WR,Miami,College Stats,9-May,170,4.45,36.5,,125,,
Patrick Taylor,RB,Memphis,College Stats,1-Jun,217,4.57,34,15,123,,4.34
Jonathan Taylor,RB,Wisconsin,College Stats,10-May,226,4.39,36,17,123,7.01,4.24
J.J. Taylor,RB,Arizona,College Stats,5-May,185,4.61,34.5,19,118,7,4.15
Tua Tagovailoa,QB,Alabama,College Stats,Jun-00,217,,,,,,
D'Andre Swift,RB,Georgia,College Stats,8-May,212,4.48,35.5,,121,,
Freddie Swain,WR,Florida,College Stats,Jun-00,197,4.46,36.5,16,124,7.05,4.26
Stephen Sullivan,TE,LSU,College Stats,5-Jun,248,4.66,36.5,,123,7.51,4.62
Darrell Stewart,WR,Michigan State,College Stats,Jun-00,212,,35,15,117,,
Laviska Shenault Jr.,WR,Colorado,College Stats,1-Jun,227,4.58,,17,,,
Henry Ruggs III,WR,Alabama,College Stats,11-May,188,4.27,42,,131,,
Kendrick Rogers,WR,Texas A&M,College Stats,4-Jun,208,4.51,35.5,17,124,7.13,4.48
Joe Reed,WR,Virginia,College Stats,Jun-00,224,4.47,38,21,123,,
Jalen Reagor,WR,TCU,College Stats,11-May,206,4.47,42,17,138,7.31,4.46
James Proche,WR,SMU,College Stats,11-May,201,,34.5,20,,7.27,4.4
Michael Pittman,WR,USC,College Stats,4-Jun,223,4.52,36.5,13,121,6.96,4.14
Jared Pinkney,TE,Vanderbilt,College Stats,4-Jun,257,4.96,,23,,,
Scottie Phillips,RB,Mississippi,College Stats,8-May,209,4.56,30,29,114,7.4,4.53
Malcolm Perry,WR,Navy,College Stats,9-May,186,4.63,36,10,122,7.12,4.31
Donovan Peoples-Jones,WR,Michigan,College Stats,2-Jun,212,4.48,44.5,,139,,
Shea Patterson,QB,Michigan,College Stats,1-Jun,212,4.71,31,,116,7.14,4.5
Dezmon Patmon,WR,Washington State,College Stats,4-Jun,225,4.48,36,15,132,7.28,4.38
Colby Parkinson,TE,Stanford,College Stats,7-Jun,252,4.77,32.5,18,109,7.15,4.46
K.J. Osborn,WR,Miami,College Stats,11-May,203,4.48,37.5,18,123,7,4.35
Sewo Olonilua,RB,TCU,College Stats,3-Jun,232,4.66,36,25,123,,4.28
Albert Okwuegbunam,TE,Missouri,College Stats,5-Jun,258,4.49,,,,,
Zack Moss,RB,Utah,College Stats,9-May,223,4.65,33,19,,,4.37
Thaddeus Moss,TE,LSU,College Stats,2-Jun,250,,,,,,
Darnell Mooney,WR,Tulane,College Stats,10-May,176,4.38,37,9,124,,
Steven Montez,QB,Colorado,College Stats,4-Jun,231,4.68,33,,117,7.25,4.43
Denzel Mims,WR,Baylor,College Stats,3-Jun,207,4.38,38.5,16,131,6.66,4.43
Sean McKeon,TE,Michigan,College Stats,5-Jun,242,,,18,,,
Anthony McFarland,RB,Maryland,College Stats,8-May,208,4.44,29.5,,116,,
Cole McDonald,QB,Hawaii,College Stats,3-Jun,215,4.58,36,,121,7.13,4.52
Austin Mack,WR,Ohio State,College Stats,1-Jun,208,4.59,31.5,,117,,4.42
Jake Luton,QB,Oregon State,College Stats,6-Jun,224,,,,,,
Jordan Love,QB,Utah State,College Stats,4-Jun,224,4.74,35.5,,118,7.21,4.52
Kalija Lipscomb,WR,Vanderbilt,College Stats,Jun-00,207,4.57,32,16,127,,
Brian Lewerke,QB,Michigan State,College Stats,2-Jun,213,4.95,31,,113,7.14,4.4
Javon Leake,RB,Maryland,College Stats,Jun-00,215,4.65,34,,125,,
CeeDee Lamb,WR,Oklahoma,College Stats,2-Jun,198,4.5,34.5,11,124,,
Cole Kmet,TE,Notre Dame,College Stats,6-Jun,262,4.7,37,,123,7.44,4.41
Joshua Kelley,RB,UCLA,College Stats,11-May,212,4.49,31,23,121,6.95,4.28
Dalton Keene,TE,Virginia Tech,College Stats,4-Jun,253,4.71,34,21,125,7.07,4.19
Tony Jones,RB,Notre Dame,College Stats,10-May,220,4.68,32.5,13,119,7.18,4.21
Tyler Johnson,WR,Minnesota,College Stats,1-Jun,206,,,,,,
Juwan Johnson,WR,Oregon,College Stats,4-Jun,230,4.58,33,14,124,6.94,4.37
Collin Johnson,WR,Texas,College Stats,6-Jun,222,,,17,,,
Jerry Jeudy,WR,Alabama,College Stats,1-Jun,193,4.45,35,,120,,4.53
Jauan Jennings,WR,Tennessee,College Stats,3-Jun,215,4.72,29,,119,,
Van Jefferson,WR,Florida,College Stats,1-Jun,200,,,,,,
Justin Jefferson,WR,LSU,College Stats,1-Jun,202,4.43,37.5,,126,,
Trishton Jackson,WR,Syracuse,College Stats,1-Jun,197,4.5,36,,117,,
Jalen Hurts,QB,Oklahoma,College Stats,1-Jun,222,4.59,35,,125,,
Brycen Hopkins,TE,Purdue,College Stats,4-Jun,245,4.66,33.5,21,116,7.25,4.28
Isaiah Hodgins,WR,Oregon State,College Stats,4-Jun,210,4.61,36.5,9,124,7.01,4.12
K.J. Hill,WR,Ohio State,College Stats,Jun-00,196,4.6,32.5,17,114,,
John Hightower,WR,Boise State,College Stats,1-Jun,189,4.43,38.5,,122,7.07,4.21
Tee Higgins,WR,Clemson,College Stats,4-Jun,216,,,,,,
Brian Herrien,RB,Georgia,College Stats,11-May,209,4.62,38.5,18,126,7.12,4.4
Justin Herbert,QB,Oregon,College Stats,6-Jun,236,4.68,35.5,,123,7.06,4.46
JaMycal Hasty,RB,Baylor,College Stats,8-May,205,4.55,39,15,123,,4.03
KJ Hamler,WR,Penn State,College Stats,9-May,178,,,15,,,
Stephen Guidry,WR,Mississippi State,College Stats,3-Jun,201,4.47,34,,125,7.31,4.46
Anthony Gordon,QB,Washington State,College Stats,2-Jun,205,,,,,,
Antonio Gibson,WR,Memphis,College Stats,Jun-00,228,4.39,35,16,118,,
Antonio Gandy-Golden,WR,Liberty,College Stats,4-Jun,223,4.6,36,22,127,7.33,4.55
Aaron Fuller,WR,Washington,College Stats,11-May,188,4.59,34,,118,7.14,
Jake Fromm,QB,Georgia,College Stats,2-Jun,219,5.01,30,,111,7.27,4.51
Chris Finke,WR,Notre Dame,College Stats,9-May,186,4.57,40,7,,,
Darrynton Evans,RB,Appalachian State,College Stats,10-May,203,4.41,37,20,125,,
Clyde Edwards-Helaire,RB,LSU,College Stats,7-May,207,4.6,39.5,15,123,,
Bryan Edwards,WR,South Carolina,College Stats,3-Jun,212,,,,,,
Jacob Eason,QB,Washington,College Stats,6-Jun,231,4.89,27.5,,110,7.5,4.75
Devin Duvernay,WR,Texas,College Stats,10-May,200,4.39,35.5,,123,7.13,4.2
Rico Dowdle,RB,South Carolina,College Stats,11-May,213,4.54,38,,127,,
J.K. Dobbins,RB,Ohio State,College Stats,9-May,209,,,23,,,
AJ Dillon,RB,Boston College,College Stats,Jun-00,247,4.53,41,23,131,7.19,
Josiah Deguara,TE,Cincinnati,College Stats,2-Jun,242,4.72,35.5,25,115,7.15,4.35
Quartney Davis,WR,Texas A&M,College Stats,1-Jun,201,4.54,35.5,,,,
Gabriel Davis,WR,UCF,College Stats,2-Jun,216,4.54,35,14,124,7.08,4.59
DeeJay Dallas,RB,Miami,College Stats,10-May,217,4.58,33.5,,119,7.18,4.32
Tyrie Cleveland,WR,Florida,College Stats,2-Jun,209,4.46,39.5,13,126,,
Chase Claypool,WR,Notre Dame,College Stats,4-Jun,238,4.42,40.5,19,126,,
Quintez Cephus,WR,Wisconsin,College Stats,1-Jun,202,4.73,38.5,23,124,7.2,4.33
Marquez Callaway,WR,Tennessee,College Stats,1-Jun,205,4.55,38,,126,,
Raymond Calais,RB,Louisiana-Lafayette,College Stats,8-May,188,4.42,37.5,20,120,,
Lawrence Cager,WR,Georgia,College Stats,5-Jun,220,,,,,,
Joe Burrow,QB,LSU,College Stats,3-Jun,221,,,,,,
Kelly Bryant,QB,Missouri,College Stats,3-Jun,229,4.69,35,,125,7.33,4.51
Hunter Bryant,TE,Washington,College Stats,2-Jun,248,4.74,32.5,23,115,7.08,4.46
Harrison Bryant,TE,Florida Atlantic,College Stats,5-Jun,243,4.73,32.5,13,110,7.41,4.37
Tony Brown,WR,Colorado,College Stats,1-Jun,198,4.65,33.5,14,119,7.21,4.27
Jacob Breeland,TE,Oregon,College Stats,5-Jun,252,,,,,,
Lynn Bowden,WR,Kentucky,College Stats,11-May,204,,,13,,,
Eno Benjamin,RB,Arizona State,College Stats,9-May,207,4.57,39,12,122,6.97,4.25
LeVante Bellamy,RB,Western Michigan,College Stats,9-May,192,4.5,39.5,16,125,,
Omar Bayless,WR,Arkansas State,College Stats,1-Jun,212,4.62,36,11,123,7.35,4.5
Devin Asiasi,TE,UCLA,College Stats,3-Jun,257,4.73,30.5,16,115,,
Cam Akers,RB,Florida State,College Stats,10-May,217,4.47,35.5,20,122,,4.42
Brandon Aiyuk,WR,Arizona State,College Stats,Jun-00,205,4.5,40,11,128,,
Salvon Ahmed,RB,Washington,College Stats,11-May,197,4.62,34.5,,120,,
Dom Wood-Anderson,TE,Tennessee,College Stats,4-Jun,261,4.92,35,,119,,
Quez Watkins,WR,Southern Miss,College Stats,Jun-00,185,4.35,36.5,,125,7.28,4.36
Mike Warren,RB,Cincinnati,College Stats,9-May,226,,,16,,,
Ben Victor,WR,Ohio State,College Stats,4-Jun,198,4.6,35,9,128,7.1,
Adam Trautman,TE,Dayton,,5-Jun,255,4.8,34.5,18,114,6.78,4.27
Charlie Taumoepeau,TE,Portland State,,2-Jun,240,4.75,36.5,18,121,7,4.27
Nate Stanley,QB,Iowa,College Stats,4-Jun,235,4.81,28.5,,108,7.26,4.48
James Robinson,RB,Illinois State,,9-May,219,4.64,40,24,125,7.03,4.19
La'Mical Perine,RB,Florida,College Stats,11-May,216,4.62,35,22,118,7.13,4.31
Aaron Parker,WR,Rhode Island,,2-Jun,209,4.57,26.5,12,112,6.94,4.23
C.J. O'Grady,TE,Arkansas,College Stats,4-Jun,253,4.81,34,16,119,7.3,4.34
James Morgan,QB,Florida International,College Stats,4-Jun,229,4.89,29,,112,7.51,4.64
Benny LeMay,RB,Charlotte,College Stats,8-May,221,4.75,28.5,24,112,,
Kevin Davidson,QB,Princeton,,4-Jun,224,5,28,,109,7.13,4.37
Isaiah Coulter,WR,Rhode Island,,2-Jun,198,4.45,36,,121,7.28,4.62
Jet Anderson,RB,TCU,College Stats,10-May,208,4.61,36,19,128,,4.19